Property_Inventor_InventorCode,Inventor Code
Command_CustomerPostCustomerDashboard,Customer Dashboard
Command_CustomerPostEditCustomer,Edit customer
Command_CustomerPostHomeDashboard,Home Dashboard
Command_CustomerPostMainDashboard,Main Dashboard
Command_Delete,Delete
Command_DeleteAll,Delete All
Command_DeleteAllChecked,Delete All Checked
Command_DeleteAllCheckSelect,Delete Checked
Command_DeleteAllWithoutChild,Delete All Without Child
Command_DeleteFromMainDB,Delete from Main DB
Command_DeleteNoneInCatalog,Delete All Not Existing in Catalog
Command_DeleteWithItems,Delete with Items
Command_DeleteWithoutChild,Delete without children
Command_DevicePDAStatistic,PDA Statistic
Command_DocumentHeaderStatistic,DocumentHeader
Command_Down,Down
Command_Edit,Edit
Command_EditCustomerOptions,Edit Customer Settings
Command_Export,Export
Command_Filter,Filter
Command_Find,Find
Command_Import,Import
Command_ImportExport,Import - Export
Command_Info,Info
Command_InventorPostEditInventor,Edit inventor
Command_InventorPostHomeDashboard,Home Dashboard
Command_InventorPostInventorDashboard,Inventor Dashboard
Command_InventorPostInventorForm,Inventor form
Command_InventorPostMainDashboard,Main Dashboard
Command_More,More...
Command_MultiAdd,Multi Add
Command_NavigateToGrid,View
Command_OK,Ok
Command_OpenInExplorer,Open in explorer
Command_OpenScript,Open script
Command_Pack,Pack
Command_Planogram,Planogram
Command_Print,Print
Command_Print_ByLocationCode_Report,Print Reports for Location
Command_Print_ByTag_Report,Print Reports by Tag
Command_Print_Report,Print Report
Command_RefreshStatus,Refresh Status
Command_Rename,Rename
Command_RepairFromDb,Repair from DB
Command_Report,Report
Command_Reset,Reset
Command_Reset_ToDefaultProcess,Back to Root Process
Command_ResetErrorStatus,Reset error status
Command_Run,Run
Command_RunByConfig,Run
Command_Save,Save
Command_SaveScript,Save Script
Command_Search,Search
Command_Select,Select...
Command_SendBackward,Send to Back
Command_SessionStatistic,Session
Command_SetAsDefault,Set as Default
Command_SetAsDefaultLikeInCustomer,Default from Customer
Command_SetAsProcess,Set as Process
Command_SetOptions,Edit Inventor Options
Command_ShowConfig,Config
Command_ShowIni,Ini
Command_ShowLogByConfig,Log
Command_Statistic,Statistic
Command_ToProcess,To Process
Command_ToProcessInventor,To Process Inventor >>
Command_Unpack,Unpack
Command_Up,Up
Command_Update,Update
Command_UpdateCatalog,Update
Command_UpdateInventorDateTime,Update
Command_Validate,Validate
Command_View,View
Command_ViewConfig,View Config
Command_ViewLog,View Log
Command_WorkerStatistic,Worker
Common_FromImportToGrid,Open Grid
Constant_Barcode,Barcode
Constant_Code,Code
Constant_ERP,ERP Code
Constant_Makat,Makat
Constant_Number,Number
Constant_Path,Path
Constant_Product,Product
Control_Pagination_Of,of {0}
Domain_Adapter,Adapter
Domain_Branch,Branch
Domain_Customer,Customer
Domain_DevicePDA,PDA - Documents
Domain_Family,Family
Domain_Inventor,Inventor
Domain_InventProduct,Invent Product
Domain_InventProductAnalyze,Invent Product Analyze
Domain_Itur,Itur
Domain_Itur_NAME,ITUR
Domain_Location,Location
Domain_Product,Product
Domain_Report,Report
Domain_Section,Section
Domain_StatusGroup,Status
Domain_Supplier,Supplier
Domain_Tag,Tag
Domain_Template,Template
Domain_UnitPlan,Unit Plan
DomainUnknownName_UnknownDevice,UnknownDevice
DomainUnknownName_UnknownFamily,UnknownFamily
DomainUnknownName_UnknownLocation,UnknownLocation
DomainUnknownName_UnknownPropertyStr,UnknownPropertyStr
DomainUnknownName_UnknownSection,UnknownSection
DomainUnknownName_UnknownSupplier,UnknownSupplier
DomainUnknownName_UnknownUnitType,UnknownUnitType
DomainUnknownName_UnknownWorker,Unknown Worker
DownloadButtonText,Download
Err_ConnectionDBException, Connection Error 
GoToPage,Go to Page
InventProductListDetailsView_Clalit_Column_PropertyStr1,serial
InventProductListDetailsView_Clalit_Column_PropertyStr10,vend_id 
InventProductListDetailsView_Clalit_Column_PropertyStr11,last_upd_date 
InventProductListDetailsView_Clalit_Column_PropertyStr12,purchase_date 
InventProductListDetailsView_Clalit_Column_PropertyStr13,Item_Id
InventProductListDetailsView_Clalit_Column_PropertyStr14,client_id 
InventProductListDetailsView_Clalit_Column_PropertyStr15,purchase_date
InventProductListDetailsView_Clalit_Column_PropertyStr2,prod_id
InventProductListDetailsView_Clalit_Column_PropertyStr3,manufacturer 
InventProductListDetailsView_Clalit_Column_PropertyStr4,model_id 
InventProductListDetailsView_Clalit_Column_PropertyStr5,descr 
InventProductListDetailsView_Clalit_Column_PropertyStr6,configuration_stat_id 
InventProductListDetailsView_Clalit_Column_PropertyStr7,leasingProperty 
InventProductListDetailsView_Clalit_Column_PropertyStr8,pc_screen_size 
InventProductListDetailsView_Clalit_Column_PropertyStr9,longtext 
InventProductListDetailsView_Column_SupplierCode,SupplierCode
InventProductListDetailsView_Compare_Column_PropertyFloat1,In1
InventProductListDetailsView_Compare_Column_PropertyFloat2,In2
InventProductListDetailsView_Compare_Column_PropertyFloat3,Difference
InventProductListDetailsView_Compare_Column_PropertyFloat4,Result
InventProductListDetailsView_Compare_Column_PropertyStr1,File1
InventProductListDetailsView_Compare_Column_PropertyStr2,File2
InventProductListDetailsView_InventProduct_Column_IPValueStr1,Batch
InventProductListDetailsView_InventProduct_Column_IPValueStr2,Date
InventProductListDetailsView_Merkava_Column_Code,Code
InventProductListDetailsView_Merkava_Column_PropertyStr1,Equipment 
InventProductListDetailsView_Merkava_Column_PropertyStr10,Purchase Date 
InventProductListDetailsView_Merkava_Column_PropertyStr11,Purchase Value 
InventProductListDetailsView_Merkava_Column_PropertyStr12,Property 12
InventProductListDetailsView_Merkava_Column_PropertyStr13,Property 13
InventProductListDetailsView_Merkava_Column_PropertyStr17,Property 17
InventProductListDetailsView_Merkava_Column_PropertyStr18,Property 18
InventProductListDetailsView_Merkava_Column_PropertyStr19,Property 19
InventProductListDetailsView_Merkava_Column_PropertyStr2,Description Equipment 
InventProductListDetailsView_Merkava_Column_PropertyStr20,Property 20
InventProductListDetailsView_Merkava_Column_PropertyStr3,Reduced Property Value 
InventProductListDetailsView_Merkava_Column_PropertyStr4,Field Sorting 
InventProductListDetailsView_Merkava_Column_PropertyStr5,Hotel 
InventProductListDetailsView_Merkava_Column_PropertyStr6,Property 6
InventProductListDetailsView_Merkava_Column_PropertyStr7,Property 7
InventProductListDetailsView_Merkava_Column_PropertyStr8,UID-RFID 
InventProductListDetailsView_Merkava_Column_PropertyStr9,Notes 
InventProductListDetailsView_Nativ_Column_PropertyStr1,Property 1
InventProductListDetailsView_Nativ_Column_PropertyStr10,Property 10
InventProductListDetailsView_Nativ_Column_PropertyStr11,Property 11
InventProductListDetailsView_Nativ_Column_PropertyStr12,Property 12
InventProductListDetailsView_Nativ_Column_PropertyStr13,Property 13
InventProductListDetailsView_Nativ_Column_PropertyStr14,Property 14
InventProductListDetailsView_Nativ_Column_PropertyStr15,Property 15
InventProductListDetailsView_Nativ_Column_PropertyStr16,Property 16
InventProductListDetailsView_Nativ_Column_PropertyStr17,Property 17
InventProductListDetailsView_Nativ_Column_PropertyStr18,Property 18
InventProductListDetailsView_Nativ_Column_PropertyStr19,Property 19
InventProductListDetailsView_Nativ_Column_PropertyStr2,Property 2
InventProductListDetailsView_Nativ_Column_PropertyStr20,Property 20
InventProductListDetailsView_Nativ_Column_PropertyStr3,Property 3
InventProductListDetailsView_Nativ_Column_PropertyStr4,Property 4
InventProductListDetailsView_Nativ_Column_PropertyStr5,Property 5
InventProductListDetailsView_Nativ_Column_PropertyStr6,Property 6
InventProductListDetailsView_Nativ_Column_PropertyStr7,Property 7
InventProductListDetailsView_Nativ_Column_PropertyStr8,Property 8
InventProductListDetailsView_Nativ_Column_PropertyStr9,Property 9
IturStatusGroup_AllDocsIsApprove,AllDocsIsApprove
IturStatusGroup_DisableAndNoOneDoc,DisableAndNoOneDoc
IturStatusGroup_DisableWithDocs,DisableWithDocs
IturStatusGroup_Empty,Empty
IturStatusGroup_Error,Error
IturStatusGroup_None,All
IturStatusGroup_NotApprove,NotApprove
IturStatusGroup_OneDocIsApprove,OneDocIsApprove
Log_Error1001,In  ProductParserList {0} - Is Not Exists
Log_Error1003,In  InventProductSimpleParserList {0} - Is Not Exists
Log_Error1004,Try Delete File  [{0}]
Log_Error1005,File Path  Is Empty
Log_Error1007,In  IturParserList {0} - Is Not Exists
Log_Error1009,In  LocationParserList {0} - Is Not Exists
Log_Error1010,In  {0} {1} - Is Not Exists
Log_ParserFileErrorMessage_BarcodeExistInDB,Same Barcode [ {0} ] Exist in DB
Log_ParserFileErrorMessage_BarcodeIsEmpty,Barcode : [ {0} ] Is Empty
Log_ParserFileErrorMessage_BarcodeNotExistInDB,Barcode [ {0} ] Exist in Data Row, but Not Exist in Catalog as Barcode
Log_ParserFileErrorMessage_BranchCodeExistInDB,Same BranchCode [ {0} ] Exist in DB
Log_ParserFileErrorMessage_DocumentCodeExistInDB,Document with Same Code [ {0} ] Exist in DB
Log_ParserFileErrorMessage_Error,Parser Error : 
Log_ParserFileErrorMessage_FileIsEmpty,File : [ {0} ] Is Empty or Is not Exist
Log_ParserFileErrorMessage_FileIsNotExist,File : [ {0} ] Is not Exist
Log_ParserFileErrorMessage_FileTxtExpected,File : [ {0} ] must be text file
Log_ParserFileErrorMessage_FileXlsxExpected,File : [ {0} ] must have .xlsx Format
Log_ParserFileErrorMessage_IturCodeExistInDB,Itur with Same Code [ {0} ] Exist in DB
Log_ParserFileErrorMessage_IturCodeIsEmpty,IturCode : [ {0} ] Is Empty
Log_ParserFileErrorMessage_IturCodeNotExistInDB,IturCode [ {0} ] Exist in Data Row, but Not Exist in Itur as Code
Log_ParserFileErrorMessage_KeyIsEmpty,Key : [ {0} ] Is Empty
Log_ParserFileErrorMessage_KeyNotFind,Key : [ {0} ] Not Find
Log_ParserFileErrorMessage_LocationCodeExistInDB,Location with Same Code [ {0} ] Exist in DB
Log_ParserFileErrorMessage_LocationCodeIsEmpty,LocationCode : [ {0} ] Is Empty
Log_ParserFileErrorMessage_LocationCodeNotExistInDB,LocationCode [ {0} ] Exist in Data Row, but Not Exist in Location as Code
Log_ParserFileErrorMessage_MakatAndBarcodeNotExistInDB,Barcode (or Makat) [ {0} ] Exist in Data Row, but Not Exist in Catalog
Log_ParserFileErrorMessage_MakatExistInDB,Same Makat [ {0} ] Exist in DB
Log_ParserFileErrorMessage_MakatIsEmpty,Makat : [ {0} ] Is Empty
Log_ParserFileErrorMessage_MakatNotExistInDB,Makat [ {0} ] Exist in Data Row, but Not Exist in Catalog as Makat
Log_ParserFileErrorMessage_NoExpectedLengthString,Length of Input String does not match the Expected Length : [ {0} ]
Log_ParserFileErrorMessage_NoExpectedMarker,Data Row no Expected Marker : [ {0} ]
Log_ParserFileErrorMessage_NoHeaderLine,There Is no Header Line or not the Marker Header in the First Line of File :  [ {0} ]
Log_ParserFileErrorMessage_NoMatchNumberSubstrings,Does not Match the Number of Substrings in the Data Row with the Expected :  [ {0} ]
Log_ParserFileErrorMessage_NoOneDataRow,There Is no One Data Row in File : [ {0} ]
Log_ParserFileErrorMessage_ParentMakatIsEmpty,Parent Makat : [ {0} ] Is Empty
Log_ParserFileErrorMessage_SessionCodeExistInDB,Session with Same Code [ {0} ] Exist in DB
Log_ParserFileErrorMessage_TableNameIsEmpty,Table Name Is Empty
Log_ParserFileErrorMessage_TableNotExistInDB,Table Not Exist In DB
Log_ParserFileErrorMessage_Warning,Parser Warning : 
Log_TraceParser1001,Parser Error And Message : 
Log_TraceProvider1101,[{0}] is [{1}]
Log_TraceProvider1102,From  [{0}]
Log_TraceProvider1103,Import Option - [{0}]
Log_TraceRepository1001,Start process: Clear Table [{0}] Via ADO.NET
Log_TraceRepository1005,Start process: Select Ver DB [{0}]  Via ADO.NET
Log_TraceRepository1006,End process: Select Ver DB
Log_TraceRepository1015,Export to [{0}] is [{1}]
Log_TraceRepository1040,[{0}] is [{1}]
Log_TraceRepository1045,Clear [{0}]
Log_TraceRepositoryResult1001,subFolder : [{0}]
Log_TraceRepositoryResult1002,fileDB : [{0}]
Log_TraceRepositoryResult1003,Sql : [{0}]
Log_TraceRepositoryResult10031,[{0}] in DB [{1}]
Log_TraceRepositoryResult1004,Start Commit process 
Log_TraceRepositoryResult1005,End Commit process
Log_TraceRepositoryResult1006,[{0}] in DB {1}\\{2}
Log_TraceRepositoryResult1007,End process Clear 
Log_TraceRepositoryResult1008,Start Process: Copy Table [{0}] Via BulkCopy
Log_TraceRepositoryResult1009,From DB [{0}] To DB [{1}] 
Log_TraceRepositoryResult1011,Add {0} {1} in DB [{2}]
Log_TraceRepositoryResult1015,Clear [{0}] Via ADO.NET
Log_TraceRepositoryResult1016,Start Write to File [{0}] 
Log_TraceRepositoryResult1020,Start Fill [{0}]
Log_TraceRepositoryResult1021,End Fill [{0}]
Log_TraceRepositoryResult1035,Start process: Commit Data To DB [{0}] 
Log_TraceRepositoryResult1036,End process: Commit Data To DB [{0}] 
Log_TraceRepositoryResult1050,Parser Error And Message : 
Log_TraceRepositoryResult1055,Copy Table [{0}] Via BulkCopy
Log_TraceRepositoryResult1056,Delete File  [{0}]
Log_TraceRepositoryResult1057,Cancel Write to File [{0}] 
Log_TraceRepositoryResult1058,Write to File [{0}] 
Log_TraceRepositoryResult1059,Cancel Insert [{0}] in DB [{1}] from file [{2}]
Log_TraceRepositoryResult1061,Source Table [{0}] in DB [{1}] {2} have [{3}] Row
Log_TraceRepositoryResult1062,Destination Table [{0}] in DB [{1}] {2} after Copy, have [{3}] Row
Mdi_AllBranches,Branches
Mdi_Application,Application
Mdi_Branch,Branch
Mdi_CatalogInfoForBranch,Catalog Info for Branch
Mdi_CatalogInfoForCustomer,Catalog Info for Customer
Mdi_CatalogInfoForInventor,Catalog Info for Inventor
Mdi_Customer,Customer
Mdi_DomainObject,Domain Object
Mdi_Family,Family
Mdi_GetFromPdaLog,Get from PDA Log
Mdi_Inventor,Inventor
Mdi_InventorStatus,Inventor Status
Mdi_InventProduct,Invent Product
Mdi_InventProductSimple,Invent Product Advanced
Mdi_InventProductSum,Invent Product Aggregate
Mdi_Iturim,Iturim
Mdi_LastBraches,Last Branches Used In Inventory
Mdi_LastBrachesForCustomer,Last Branches For Customer Used In Inventory
Mdi_LastCustomers,Last Customers Used In Inventory
Mdi_LastCustomersBuild,Customers
Mdi_LastInventors,Last Inventors
Mdi_LastInventorsForBranch,Last Inventors for Branch
Mdi_LastInventorsForCustomer,Last Inventors for Customer
Mdi_Location,Location
Mdi_Menu,Menu
Mdi_PdaSendData,PDA Send Data
Mdi_Planogram,Planogram
Mdi_Reports,Reports
Mdi_Section,Section
Mdi_Statistic,Statistics
Mdi_Supplier,Supplier
Menu_Name_Adapters,Adapters
Menu_Name_AddBranch,Add Branch
Menu_Name_AddCustomer,Add Customer
Menu_Name_AddInventor,Add Inventor
Menu_Name_AddItem,Add Item
Menu_Name_AddNewInventor,Add Inventor
Menu_Name_AddToPackData,Add Selected to Code List
Menu_Name_Catalog,Catalog
Menu_Name_ChangeCatalog,Change Catalog
Menu_Name_ChangeStatus,Change Inventor Status
Menu_Name_ClearCodeList,Clear Code List
Menu_Name_DownloadFromPDA,Download Files From PDA
Menu_Name_EditBranch,Edit Branch
Menu_Name_EditCustomer,Edit Customer
Menu_Name_EditInventor,Edit Inventor
Menu_Name_ERPExpected,ERP Expected
Menu_Name_ExportERP,ExportERP
Menu_Name_ExportPDA,ExportPDA
Menu_Name_FromFtp,From Ftp
Menu_Name_Ftp,Ftp
Menu_Name_GetFromFtp,Get From Ftp
Menu_Name_GetFromPDA,Get From PDA
Menu_Name_GetFtp,Menu_Name_GetFtp
Menu_Name_Iturim,Iturim
Menu_Name_Location,Location
Menu_Name_PackData,Pack Data
Menu_Name_Profile,Profile
Menu_Name_Properties,Properties
Menu_Name_ReportFavorites,Reports Favorites
Menu_Name_SaveZipInventor,Save/Zip Inventor
Menu_Name_SearchBranch,Branch Grid
Menu_Name_SearchCustomer,Customer Grid
Menu_Name_SearchInventor,Inventor Grid
Menu_Name_SendDataInMail,Send Data In Mail
Menu_Name_SendZipOffice,Send Zip to Office
Menu_Name_StartWizard,Wizard Create Inventor
Menu_Name_ToFtp,To Ftp
Menu_Name_UnpackData,Unpack Data
Menu_Name_UploadToPDA,Upload File To PDA
Message_CreateProfile,Do you want to ask create Profile via Service?
Message_Repair,Do you want to restore objects via database relations?
Message_ReportMissedInFileSystem,Report File doesn't exist in file system
Msg_Add_Another_Branch,New branch successfully saved. Add another one?
Msg_Add_Another_Customer,New customer successfully saved. Add another one?
Msg_BackupDb,Backuping db files...
Msg_Branch_Sdf_File_Missed,{0} file is missed. Application will create new one. Inherit database file from customer?
Msg_CatalogNotEmpty,"Catalog exist (It is not Empty). If you want to Clear it and Import the new one - click ""Yes"""
Msg_CheckingDb,Checking imported Databases for consistency
Msg_Clear_Export_ERP,Do you really want to clear?
Msg_Clear_Export_PDA,Do you really want to clear?
Msg_Clear_Import,Do you really want to clear?
Msg_Clear_Import_Directory,You are about to clear {0}. Are you sure?
Msg_ClearDocument,Do you really want to clear Document (Related Products will be removed permanently)?
Msg_Close_Application,Are you sure want close Application?
Msg_Close_Application_Printing,Printing is in progress. Are you sure want close application?
Msg_Common_Error_Occured,An Error has occured. Description is available in the Log File.
Msg_ConfigurationSetExist,Configuration set with such Name already Exists
Msg_Customer_Sdf_File_Missed,{0} file is missed. Application will create new one.
Msg_Default_Adapter_Unaccessible,Your default adapter is unaccessible due to licensing permissions. Fallback adapter selected.
Msg_Delete_Adapter_Link,Are you sure you want to delete Adapter Link?
Msg_Delete_Branch,Are you sure want delete {0} ?
Msg_Delete_Customer,Are you sure want delete {0} ?
Msg_Delete_Document_Header,Are you sure you want to delete Document Header: {0} ?
Msg_Delete_Familys,Are you sure want to delete Familys {0} ?
Msg_Delete_Invent_Product,Are you sure you want to delete {0} {1} {2}?
Msg_Delete_Invent_Product_NotExistInCatalog,Are you sure that you want to delete all inventory items which not exist in catalog?
Msg_Delete_Inventor,Are you sure want delete {0} ?
Msg_Delete_Itur,Are you sure you want to delete Itur(s): {0} ?
Msg_Delete_IturHierarchical,There are Items in selected Itur(s). Are you sure that you want to delete Items in : {0} Itur(s)?
Msg_Delete_Location,Are you sure you want to delete Location(s): {0} ?
Msg_Delete_Parsing_Mask,Are you sure want to delete Masks for {0} Adapter?
Msg_Delete_Product,Are you sure you want to delete Product(s): {0} ?
Msg_Delete_Report,Are you sure want to delete Report {0}\{1} ?
Msg_Delete_Section,Are you sure want to delete Section {0} ?
Msg_Delete_Supplier,Are you sure want to delete Supplier {0} ?
Msg_Delete_Suppliers,Are you sure want to delete Supplier(s) ?
Msg_DynViewModelCanNotExport,Can Not Export
Msg_DynViewModelCanNotImport,Can't Import. Check that Files exist.
Msg_DynViewModelNotInitialaze,DynViewModel not Initialize
Msg_FileNotFound,File {0} not found
Msg_FilterTemplateExists,Filter template with such name already exists
Msg_FilterWindow,Filter Window
Msg_Incorrect_File_Format,Incorrect file format
Msg_IturNotEmpty,Non-empty iturs were found. They would have been skipped during delete. Proceed?
Msg_Migrate_Db_Done,Database scheme updated from version {0} to {1}{2}Backup path: {3}
Msg_Migrate_Db_Done2,Database scheme updated.
Msg_Migrate_Db_Error,Error while preparing db: {0}
Msg_Migrate_Db_Error_Rollback,Database migration error has occured. Please contact administrator.{0}Database files will be rolled back to initial state.
Msg_Migrate_Db_Error_Version,Your program version is older than database files.
Msg_NotValidFileName,File name is not valid
Msg_PrepareDatabase,Preparing database for first use...
Msg_Recalculate_Itur_Status,Recalculation of itur statuses can take a lot of time. Do you want to proceed?
Msg_ReportLinkFill,Table ReportLink filled with data from {0}
Msg_RestoreDone,Restore done
Msg_Rollback,Rolling back changes
Msg_SearchWindow,Search Window
Msg_SuppliersNotEmpty,There are some suppliers in DB. Do you want to clear them?
Msg_Unhandled_Exception,Unhandled exception occured.
Msg_UpdateDbScheme,Updating db scheme...
Msg_Zip_Changes_Apply_After_Restart,Adapters changes will apply after application restart.
Operator_Contains,Contains {0}
Operator_DateTimeGreaterOrEqual, >= {0}
Operator_DateTimeLessOrEqual, <= {0}
Operator_EndsWith,Ends with {0}
